Timestamp,A0 (V),A1 (V),A2 (V),A3 (V),B0 (V),B1 (V),B2 (V),B3 (V),Temperature (C),Humidity (%)

2025-02-20 22:48:52,2.141875,2.152375,2.161,2.134375,2.161125,2.142,2.134125,2.1433750000000003,29.290008544921875,72.49164581298828

2025-02-20 22:48:53,2.156625,2.165375,2.168125,2.148875,2.16175,2.1430000000000002,2.1375,2.1350000000000002,29.319190979003906,72.52788543701172

2025-02-20 22:48:54,2.167875,2.160625,2.1858750000000002,2.165,2.172375,2.1475,2.147125,2.1510000000000002,29.314804077148438,72.60160446166992

2025-02-20 22:48:55,2.167375,2.177375,2.1865,2.165375,2.176625,2.1565,2.150375,2.156,29.332733154296875,72.5834846496582

2025-02-20 22:48:57,2.1535,2.15275,2.15475,2.110625,2.138875,2.118,2.0905,2.122,29.336166381835938,72.6217269897461

2025-02-20 22:48:58,2.138,2.152625,2.171375,2.150875,2.14625,2.106875,2.103375,2.1335,29.328155517578125,72.66712188720703

2025-02-20 22:48:59,2.158,2.16775,2.174375,2.150125,2.1625,2.138125,2.138,2.1437500000000003,29.345321655273438,72.71347045898438

2025-02-20 22:49:00,2.1405,2.1510000000000002,2.154125,2.133,2.15075,2.1273750000000002,2.1235,2.1277500000000003,29.33521270751953,72.73216247558594

2025-02-20 22:49:01,2.141625,2.147125,2.1595,2.134375,2.14875,2.12825,2.1245,2.128625,29.346466064453125,73.06327819824219

2025-02-20 22:49:02,2.155875,2.168125,2.171375,2.1535,2.1635,2.14525,2.1415,2.144625,29.372596740722656,73.66981506347656

2025-02-20 22:49:04,2.145375,2.158375,2.166375,2.144375,2.156,2.137375,2.128625,2.134875,29.387664794921875,74.6917724609375

2025-02-20 22:49:05,2.132875,2.140625,2.15325,2.12075,2.144,2.122,2.11725,2.121,29.405593872070312,75.22954940795898

2025-02-20 22:49:06,2.13075,2.1405,2.154125,2.1225,2.141,2.11875,2.115125,2.11825,29.410934448242188,75.16059875488281

2025-02-20 22:49:07,2.132625,2.143625,2.149,2.13025,2.1426250000000002,2.122875,2.11475,2.12025,29.39739227294922,75.22087097167969

2025-02-20 22:49:08,2.149875,2.162375,2.172375,2.146375,2.162125,2.139625,2.136,2.14,29.41455841064453,75.20751953125

2025-02-20 22:49:09,2.13825,2.145375,2.15325,2.129375,2.146375,2.12575,2.120875,2.125875,29.41761016845703,75.0680923461914

2025-02-20 22:49:11,2.13225,2.147625,2.152125,2.129875,2.1425,2.1215,2.11425,2.123,29.397010803222656,74.90882873535156

2025-02-20 22:49:12,2.141,2.1473750000000003,2.1555,2.133625,2.149625,2.1310000000000002,2.124375,2.132875,29.405975341796875,74.87869262695312

2025-02-20 22:49:13,2.148875,2.151125,2.1675,2.1305,2.15475,2.13,2.128625,2.127875,29.40502166748047,75.10185241699219

2025-02-20 22:49:14,2.1025,2.09525,2.095375,2.10675,2.085,2.07225,2.082125,2.106,29.404830932617188,75.24728775024414

2025-02-20 22:49:15,2.1525,2.15575,2.173625,2.138625,2.161125,2.135875,2.133,2.1335,29.413223266601562,75.35943984985352

2025-02-20 22:49:16,2.146375,2.153875,2.165875,2.1445,2.1593750000000003,2.13725,2.1325,2.13475,29.43553924560547,75.3662109375

2025-02-20 22:49:18,2.144875,2.16175,2.142875,2.138,2.143625,2.14,2.1273750000000002,2.139875,29.425811767578125,75.42390823364258

2025-02-20 22:49:19,2.146,2.158125,2.1702500000000002,2.146375,2.1585,2.1397500000000003,2.131875,2.141875,29.432106018066406,75.40044784545898

2025-02-20 22:49:20,2.166125,2.172625,2.18475,2.15725,2.17075,2.15175,2.144125,2.15475,29.448509216308594,75.45452117919922

2025-02-20 22:49:21,2.152375,2.156,2.1705,2.139625,2.161875,2.134,2.134,2.135625,29.4403076171875,75.3580093383789

2025-02-20 22:49:22,2.1506250000000002,2.16075,2.171125,2.1425,2.162125,2.13675,2.134875,2.135125,29.426193237304688,75.24166107177734

2025-02-20 22:49:23,2.1433750000000003,2.158875,2.16025,2.14925,2.15625,2.139875,2.131875,2.1395,29.441261291503906,75.15144348144531

2025-02-20 22:49:25,2.150125,2.1593750000000003,2.169875,2.145625,2.1585,2.140875,2.128875,2.1397500000000003,29.421043395996094,75.03299713134766

2025-02-20 22:49:26,2.16725,2.171375,2.185375,2.158125,2.16275,2.15175,2.144,2.1546250000000002,29.43401336669922,74.91188049316406

2025-02-20 22:49:27,2.16775,2.169625,2.1862500000000002,2.158,2.1715,2.1515,2.144375,2.153125,29.442214965820312,74.77798461914062

2025-02-20 22:49:28,2.1550000000000002,2.15775,2.174375,2.13825,2.1605,2.137125,2.134,2.13425,29.448509216308594,74.51934814453125

2025-02-20 22:49:29,2.145375,2.162,2.171125,2.134125,2.16125,2.1375,2.1350000000000002,2.129875,29.445457458496094,74.36599731445312

